"Player Name", "World", "Combat Level", "Time In MS",
Laur1sLT,386,88,1567808920873,
Team LEGEND,320,106,1567808964264,
Team LEGEND,387,106,1567809052976,
bradapowa,339,99,1567809162491,
I TBed Sir,311,37,1567809166613,
muf slayer,493,92,1567809222187,
Iron Papaya,358,57,1567809229947,
party mik3,311,81,1567809495059,
IzurffI,518,90,1567809501591,
muf slayer,515,92,1567809535748,
Haa ru,340,54,1567809571673,
party mik3,318,81,1567809616773,
party mik3,320,81,1567809654218,
Torture Iron,517,91,1567809692967,
GramsaySan,331,119,1567809700410,
Roughyx,331,112,1567809700412,
DAWNBRlNGER,331,123,1567809700414,
Leg1tEgis,331,122,1567809700416,
party mik3,327,81,1567809735624,
el broder 4,321,64,1567809831623,
Do mantas,389,93,1567809995879,
N0 Y0U,389,87,1567809995882,
Perm Sat,310,60,1567810271059,
Perm Sat,312,60,1567810357000,
Popa Watts,334,84,1567810508422,
party mik3,395,81,1567810659683,
Asta_0,374,60,1567811065166,
Laur1sLT,314,88,1567811347246,
Kurei Mori,331,56,1567811565215,
TopChef Mike,321,76,1567812571665,
Blake Wavey,376,62,1567812702884,
Laur1sLT,357,88,1567812873835,
E l i x o r,329,117,1567813068332,
Laur1sLT,328,88,1567813228604,
I TBed Sir,377,39,1567813305540,
Dodocation,377,40,1567813305570,
Blake Wavey,387,62,1567813476885,
Blake Wavey,360,62,1567814008568,
Zeldris 2019,359,64,1567814074730,
Madsteve10,375,97,1567814238805,
Blake Wavey,495,62,1567814269063,
Jostiii,424,92,1567815330318,
55 Low Soul,496,40,1567815459896,
BukeDawg,378,124,1567816130552,
Suckitscout,359,28,1567816293073,
Bwana Cal,524,111,1567816700787,
Plasma Leman,384,28,1567817402577,
Suckitscout,355,28,1567817842484,
Suckitscout,356,28,1567817850695,
Tb my life,307,33,1567817858910,
MrNugz,378,72,1567817909355,
LemonBrat,340,100,1567818131886,
MrNugz,305,72,1567818180040,
Esco,519,77,1567818187307,
xander_1805,318,91,1567818195180,
A Bad Tank,445,88,1567818303538,
Basshunter,311,126,1567819107111,
raul110,494,60,1567819137209,
Voidezuelan,348,109,1567819376766,
duluuu,359,63,1567819421945,
smoll wein,340,67,1567819519969,
p 0 o p 0 o,387,77,1567819549099,
RAMHBB,378,73,1567820323628,
goat m1lk,328,86,1567820562459,
M_Shank,513,122,1567821399529,
L O G AN CS,322,108,1567821439941,
I Love Apple,322,87,1567821439944,
franyyai,310,93,1567821446954,
pvppvm,318,75,1567821748760,
Wrankle,324,78,1567821755941,
S1mb423,421,69,1567821780628,
magglioris,496,56,1567822097466,
Sorif,513,124,1567822394133,
wreck ralph,321,104,1567822943661,
wreck ralph,339,104,1567823508071,
micklers,318,121,1567823519507,
kragod prof,311,93,1567823791559,
theend23,524,95,1567823799013,
SoldGFforGP,524,93,1567823799016,
Hungry Hyena,524,108,1567823799018,
Yang Xinhai,421,124,1567823806668,
Jorgito Old,500,59,1567823824054,
AK47-HarsoKy,386,77,1567823913395,
Mustydesert,444,104,1567824091665,
Alex K33,344,81,1567824099265,
ryans load,321,67,1567824206792,
vRenoo,328,70,1567825665347,
Tryhard60,387,78,1567825672524,
godoba,523,48,1567825679950,
velonasaur,333,27,1567825687200,
ZwitterIron,339,118,1567825749407,
Tryhard60,352,78,1567825963217,
godoba,330,48,1567826124962,
torvic-17,378,89,1567826153623,
Lunarcrow614,354,122,1567826222540,
AustinKen,444,85,1567826655723,
ak47-assasin,310,95,1567826712943,
braytonholy,323,101,1567826850909,
Zeddeh,369,92,1567827187100,
Zeddeh,374,92,1567827202708,
Zeddeh,465,92,1567827423437,
AustinKen,514,85,1567827751464,
RAMB0-SV,341,122,1567827993754,
wreck ralph,516,104,1567828536049,
AustinKen,342,85,1567828835273,
AustinKen,343,85,1567828917646,
MI Motarz,338,52,1567859405509,
It B Lik Tht,314,110,1567859699155,
3 hit you80,310,62,1567861078342,
coqueta amor,520,98,1567861175160,
PorknBeans,330,97,1567861182319,
SalaD SlAvE,334,107,1567862451502,
Korff0,357,104,1567863145776,
kut vol hand,387,109,1567863418384,
Juska-S,343,106,1567865816950,
PedeThePure,315,69,1567866480041,
S0GXTUNDRA,327,84,1567866592405,
SoulRipped,390,69,1567866790218,
A Stuck Duck,322,106,1567868890904,
KimJongFe,395,92,1567868897983,
Duan Jiang,496,119,1567868998232,
Y0o0o00,313,49,1567869733941,
mango d0g,375,109,1567870079826,
bobyficher01,359,70,1567870087228,
Durza2232,352,77,1567870713368,
Smiles Queen,422,33,1567870720093,
Zeddeh,465,92,1567871191774,
Durza2232,306,77,1567871793750,
HulluH,375,123,1567872098964,
homestar1403,318,111,1567872320207,
Qzbxd,311,119,1567872623163,
noahkills420,333,122,1567872801801,
nobandet12,328,73,1567872943009,
Remedial,518,112,1567873686426,
plapla213,304,70,1567876099212,
SAUL GARCIA,386,64,1567876105887,
DodgersBRAH,307,122,1567876220695,
Zauliz,376,107,1567876860809,
NorwichZerk,374,83,1567878928032,
No Luck Nate,445,121,1567879464857,
werwer42,445,72,1567879464863,
Devon Dudley,341,113,1567881075290,
pekso,327,124,1567881225741,
TO ALKO,376,87,1567881269971,
HulluH,320,123,1567881441786,
Mr BeanFlick,334,54,1567881601634,
Nahoodge,302,113,1567881708518,
LA-REYNA X_X,320,62,1567881715885,
froozeng77,320,120,1567881715887,
